Name,Display Name,Description,NRT Colors,NRT sizes,Parent,BREEZEMAX ACTIVE,On Hand,On Order,Store Description,Store Display Name,Image Name
ABC : ABC-Black,Adult Basic Ball Cap Velcro<,,Black,,ABC,Yes,4700,,"<b>Blank Apparel:</b> <br>12 pieces per colour in assorted sizes. <br> <br><b>Custom Apparel:</b> <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums: <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour <br>Pants (Joggers, Shorts) – 12 pieces per colour <br> <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Basic Ballcap (new price!),ABC_Black
ABC : ABC-Brown,Adult Basic Ball Cap Velcro<,,Brown,,ABC,Yes,,,"<b>Blank Apparel:</b> <br>12 pieces per colour in assorted sizes. <br> <br><b>Custom Apparel:</b> <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums: <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour <br>Pants (Joggers, Shorts) – 12 pieces per colour <br> <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Basic Ballcap (new price!),ABC_Brown
ABC : ABC-Buf.CheckRed,Adult Basic Ball Cap Velcro*<,,Buffalo Check Red,,ABC,Yes,498,,"<b>Blank Apparel:</b> <br>12 pieces per colour in assorted sizes. <br> <br><b>Custom Apparel:</b> <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums: <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour <br>Pants (Joggers, Shorts) – 12 pieces per colour <br> <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Basic Ballcap (new price!),ABC_Buffalo Check Red
ABC : ABC-Burg,Adult Basic Ball Cap Velcro*<,,Burgundy,,ABC,Yes,2197,,"<b>Blank Apparel:</b> <br>12 pieces per colour in assorted sizes. <br> <br><b>Custom Apparel:</b> <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums: <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour <br>Pants (Joggers, Shorts) – 12 pieces per colour <br> <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Basic Ballcap (new price!),ABC_Burgundy
ABC : ABC-CamL,Adult Basic Ball Cap Velcro<,,Camo Leaf,,ABC,Yes,,,"<b>Blank Apparel:</b> <br>12 pieces per colour in assorted sizes. <br> <br><b>Custom Apparel:</b> <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums: <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour <br>Pants (Joggers, Shorts) – 12 pieces per colour <br> <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Basic Ballcap (new price!),ABC_Camo Leaf
ABC : ABC-Camo,Adult Basic Ball Cap Velcro*<,,Camo,,ABC,Yes,994,,"<b>Blank Apparel:</b> <br>12 pieces per colour in assorted sizes. <br> <br><b>Custom Apparel:</b> <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums: <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour <br>Pants (Joggers, Shorts) – 12 pieces per colour <br> <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Basic Ballcap (new price!),ABC_Camo
ABC : ABC-Char,Adult Basic Ball Cap Velcro*<,,Charcoal,,ABC,Yes,1250,,"<b>Blank Apparel:</b> <br>12 pieces per colour in assorted sizes. <br> <br><b>Custom Apparel:</b> <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums: <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour <br>Pants (Joggers, Shorts) – 12 pieces per colour <br> <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Basic Ballcap (new price!),ABC_Charcoal
ABC : ABC-For. Green,Adult Basic Ball Cap Velcro<,,Forest Green,,ABC,Yes,,,"<b>Blank Apparel:</b> <br>12 pieces per colour in assorted sizes. <br> <br><b>Custom Apparel:</b> <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums: <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour <br>Pants (Joggers, Shorts) – 12 pieces per colour <br> <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Basic Ballcap (new price!),ABC_Forest Green
ABC : ABC-H.Char,Adult Basic Ball Cap Velcro<,,Heather Charcoal,,ABC,Yes,,,"<b>Blank Apparel:</b> <br>12 pieces per colour in assorted sizes. <br> <br><b>Custom Apparel:</b> <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums: <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour <br>Pants (Joggers, Shorts) – 12 pieces per colour <br> <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Basic Ballcap (new price!),ABC_Heather Charcoal
ABC : ABC-Khaki,Adult Basic Ball Cap Velcro<,,Khaki,,ABC,Yes,1180,,"<b>Blank Apparel:</b> <br>12 pieces per colour in assorted sizes. <br> <br><b>Custom Apparel:</b> <br>48 prints per design, which can be placed on an assortment of our garments meeting the following style minimums: <br>Short Sleeve Garments (Tees, Tanks) – 24 pieces per colour <br>Long Sleeve Garments (Hoodies, Crews, Long Sleeves) – 12 pieces per colour <br>Pants (Joggers, Shorts) – 12 pieces per colour <br> <br>*If your order does not meet the minimum, you will be contacted to revise it.",Adult Basic Ballcap (new price!),ABC_Khaki
